"Age","CountryYear","Code","Year","Births","Exposure","ASFR","AgeGrLabel"
"10","AUT1951","AUT",1951,15,140071.63,0.00010708806629865,"10-14"
"15","AUT1951","AUT",1951,7350,215582.54,0.0340936701089058,"15-19"
"20","AUT1951","AUT",1951,27775,242049.79,0.114749118352881,"20-24"
"25","AUT1951","AUT",1951,32974,291065.68,0.11328714536183,"25-29"
"30","AUT1951","AUT",1951,17917,217312.9,0.0824479356724796,"30-34"
"35","AUT1951","AUT",1951,11638,257812.81,0.0451412790543651,"35-39"
"40","AUT1951","AUT",1951,4702,293646.64,0.0160124427100545,"40-44"
"45","AUT1951","AUT",1951,379.59,287396.02,0.00132079073328851,"45-49"
"50","AUT1951","AUT",1951,13.41,267281.9,0.0000501717475070328,"50-54"
"10","AUT1952","AUT",1952,18,163855.71,0.000109852747884099,"10-14"
"15","AUT1952","AUT",1952,7184,208671.92,0.0344272482852508,"15-19"
"20","AUT1952","AUT",1952,27770,234527.53,0.118408273860216,"20-24"
"25","AUT1952","AUT",1952,32427,280115.63,0.11576290833896,"25-29"
"30","AUT1952","AUT",1952,20525,242684.48,0.0845748356054742,"30-34"
"35","AUT1952","AUT",1952,10196,232068.4,0.0439353225169821,"35-39"
"40","AUT1952","AUT",1952,4528,291888.36,0.0155127802972342,"40-44"
"45","AUT1952","AUT",1952,357.25,287469.51,0.00124274049098285,"45-49"
"50","AUT1952","AUT",1952,6.75,271143.99,0.0000248945219106645,"50-54"
"10","AUT1953","AUT",1953,21,184656.5,0.000113724672567714,"10-14"
"15","AUT1953","AUT",1953,6890,204805.47,0.0336416795899055,"15-19"
"20","AUT1953","AUT",1953,28245,228954.11,0.123365332904485,"20-24"
"25","AUT1953","AUT",1953,31621,266643.59,0.11858901239666,"25-29"
"30","AUT1953","AUT",1953,22617,271585.93,0.0832775099947188,"30-34"
"35","AUT1953","AUT",1953,8711,203787.46,0.0427455153521223,"35-39"
"40","AUT1953","AUT",1953,4377,289888.29,0.0150989196562579,"40-44"
"45","AUT1953","AUT",1953,382.95,287255.8,0.00133313235102651,"45-49"
"50","AUT1953","AUT",1953,2.05,274463.44,0.00000746911865565774,"50-54"
"10","AUT1954","AUT",1954,13,188114.23,0.0000691069463485032,"10-14"
"15","AUT1954","AUT",1954,6938,215941.93,0.0321290080161829,"15-19"
"20","AUT1954","AUT",1954,28332,222169.55,0.12752422642977,"20-24"
"25","AUT1954","AUT",1954,31022,254373.55,0.121954503524443,"25-29"
"30","AUT1954","AUT",1954,24493,291238.29,0.0840995186450243,"30-34"
"35","AUT1954","AUT",1954,8387,184985.46,0.0453386985117641,"35-39"
"40","AUT1954","AUT",1954,4446,286146.49,0.0155374961964412,"40-44"
"45","AUT1954","AUT",1954,349.06,287493.22,0.00121415037196355,"45-49"
"50","AUT1954","AUT",1954,4.94,276551.46,0.0000178628599538039,"50-54"
"10","AUT1955","AUT",1955,5,172878.92,0.0000289219761437658,"10-14"
"15","AUT1955","AUT",1955,7490,241122.37,0.0310630656127011,"15-19"
"20","AUT1955","AUT",1955,28865,214178.58,0.134770713299154,"20-24"
"25","AUT1955","AUT",1955,31773,243534.14,0.130466307516474,"25-29"
"30","AUT1955","AUT",1955,26333,291781.6,0.0902490081622693,"30-34"
"35","AUT1955","AUT",1955,9565,188829.43,0.0506541803361902,"35-39"
"40","AUT1955","AUT",1955,4201,275936.87,0.0152244968205952,"40-44"
"45","AUT1955","AUT",1955,335.81,288434.2,0.00116425167334526,"45-49"
"50","AUT1955","AUT",1955,7.19,277472.31,0.0000259124955567638,"50-54"
"10","AUT1956","AUT",1956,31,163538.58,0.000189557717818022,"10-14"
"15","AUT1956","AUT",1956,8559,262263.96,0.0326350597314248,"15-19"
"20","AUT1956","AUT",1956,30444,205773.57,0.147949029605697,"20-24"
"25","AUT1956","AUT",1956,33222,234461.47,0.141694923263938,"25-29"
"30","AUT1956","AUT",1956,27500,284406.78,0.0966924909455393,"30-34"
"35","AUT1956","AUT",1956,11723,211027.61,0.0555519725594201,"35-39"
"40","AUT1956","AUT",1956,4027,252696.23,0.0159361301116364,"40-44"
"45","AUT1956","AUT",1956,320,287261.95,0.00111396584197803,"45-49"
"50","AUT1956","AUT",1956,1,278025.45,0.00000359679302740091,"50-54"
"10","AUT1957","AUT",1957,26,153079.37,0.000169846531247156,"10-14"
"15","AUT1957","AUT",1957,9988,279740.86,0.0357044730612468,"15-19"
"20","AUT1957","AUT",1957,30551,199531.72,0.15311349994878,"20-24"
"25","AUT1957","AUT",1957,33962,227355.62,0.149378317544998,"25-29"
"30","AUT1957","AUT",1957,26704,273035.68,0.0978040672193466,"30-34"
"35","AUT1957","AUT",1957,13591,237196.48,0.0572984894210909,"35-39"
"40","AUT1957","AUT",1957,3523,226972.84,0.0155216809200607,"40-44"
"45","AUT1957","AUT",1957,365.81,284892.21,0.00128402949311952,"45-49"
"50","AUT1957","AUT",1957,1.19,278448.42,0.0000042736819982674,"50-54"
"10","AUT1958","AUT",1958,28,140581.16,0.00019917320357863,"10-14"
